,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
381,Waghajaiwadi,\N,,Waghajaiwadi,415520.0,17.401,73.985251,SubCentre,Maharashtra,Satara,Patan,Patan
382,Varkute Malavadi,\N,,Varakute malavadi,415509.0,17.5239,74.8056,SubCentre,Maharashtra,Satara,Man,Man
383,Shirwal,,,Shirwal,412801.0,18.149593,73.980181,SubCentre,Maharashtra,Satara,Khandala,Khandala
384,Aahire,12,Near Tapola,Subcenter Aahire,412806.0,17.7453,73.7262,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
385,Divashi Kh.,,,Divashi Kh.,415206.0,17.453602,73.846847,SubCentre,Maharashtra,Satara,Patan,Patan
386,Padali,sub ceter padali,,village-padali,415519.0,17.583,74.0245,SubCentre,Maharashtra,Satara,Satara,Satara
387,Injabav,,,Injabav,415509.0,17.7827,74.7832,SubCentre,Maharashtra,Satara,Man,Man
388,Tadwale,230,,Tadawale,415010.0,17.7517,74.1985,Primary Health Centre,Maharashtra,Satara,Koregaon,Koregaon
389,Mhopare,,,Mhopare,415114.0,17.3251,74.0716,SubCentre,Maharashtra,Satara,Karad,Karad
390,Dhawadshi,sub center dhawadshi,,village-dhavadshi,415022.0,17.7513,73.9399,SubCentre,Maharashtra,Satara,Satara,Satara
391,Waghawale,19,Near Shivsagar Jalashay,Subcenter Waghawale,412806.0,17.7303,73.6035,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
392,Ond,\N,,Ond,415111.0,17.1807,74.1156,SubCentre,Maharashtra,Satara,Karad,Karad
393,Aatake,,,Aatake,415539.0,17.2033,74.2042,SubCentre,Maharashtra,Satara,Karad,Karad
394,Kulakjai,,,Kulakjai,415503.0,17.796,74.4093,SubCentre,Maharashtra,Satara,Man,Man
395,Kolaki,1520,,Kolaki,415523.0,17.979457,74.453877,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
396,Lonand,,,Lonand,415521.0,18.042297,74.188936,SubCentre,Maharashtra,Satara,Khandala,Khandala
397,Pimpode Kh.,,,Pimpode Kh.,415011.0,17.829503,74.100835,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
398,Saygaon,407,Near by ZP School,Saigaon,415020.0,17.796,73.9534,Primary Health Centre,Maharashtra,Satara,Jaoli,Jaoli
399,Aarewadi,\N,,Aarewadi,415114.0,17.2982,74.0686,SubCentre,Maharashtra,Satara,Karad,Karad
400,Bombale,,,Bomble,415507.0,17.616266,74.529048,SubCentre,Maharashtra,Satara,Khatav,Khatav
401,Dushere,,,Dushere,415110.0,17.2109,74.2147,SubCentre,Maharashtra,Satara,Karad,Karad
402,Pal,,,Pal,415014.0,17.4906,74.0311,SubCentre,Maharashtra,Satara,Karad,Karad
403,Karanjkhop,,,Karanjkhop,415525.0,17.94318,74.05239,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
404,Salave,132,near water park,Salve,415112.0,17.277783,73.879295,Primary Health Centre,Maharashtra,Satara,Patan,Patan
405,Bhilar,402,Near Primary School,Subcenter Bhilar,412805.0,17.9088,73.762,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
406,Dapawadi,42,Near By ZP School,Dapawadi,415514.0,17.8933,73.8182,SubCentre,Maharashtra,Satara,Jaoli,Jaoli
407,Khed bk,,,Khed bk,415521.0,18.034473,74.134537,SubCentre,Maharashtra,Satara,Khandala,Khandala
408,Ajanuj,,,Ajanuj,412802.0,18.056268,73.993839,SubCentre,Maharashtra,Satara,Khandala,Khandala
